Author,Message,Timestamp
ropf,"Hello, BDSA students!",1690891760
adho,"Welcome to the course!",1690978778
adho,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487
simon,"testing",1725262446
simon,"this goes to the database",1725272136
simon,"databases are fun",1725276075
simon,"super and candidate keys",1725276145
simon,"they have to be one of a kind",1725276189
simon,"i don't know i am just putting things in here now",1725276235
simon,"hello, world",1725344211
simon,"i'm never gonna let you down",1725358988
