Author,Message,Timestamp
ropf,"Hello, BDSA students!",1690891760
simon,hello,1727252816
simon,"we're no strangers to love",1725359170
simon,"you know the rules and so do i",1725359237
simon,"a full commitment's what  i'm thinking of",1725359322
simon,"i just wanna tell you how i'm feeling",1725359420
simon,"gotta make you understand",1725359443
simon,"never gonna give you up",1725359482
simon,"never gonna let you down",1725359496
simon,"never gonna run around and desert you",1725359551
simon,"never gonna make you cry",1725359596
simon,"never gonna say goodbye",1725359612
simon,"never gonna tell a lie and hurt you",1725359643
